tile_x,tile_y,zoom,yard_name
67805,46434,17,Yard (Main)
67806,46435,17,Yard (Main)
67796,46427,17,Yard (Main)
67795,46428,17,Yard (Main)
67794,46429,17,Yard (Main)
67793,46430,17,Yard (Main)
67789,46432,17,Yard (Main)
67783,46436,17,Yard (Main)
67782,46437,17,Yard (Main)
67777,46522,17,Yard (Main)
67772,46525,17,Yard (Main)
67771,46524,17,Yard (Main)
67770,46523,17,Yard (Main)
67769,46522,17,Yard (Main)
67769,46514,17,Yard (Main)
67757,46460,17,Yard (Main)
67780,46442,17,Yard (Main)
67781,46443,17,Yard (Main)
67798,46426,17,Yard (Main)
67799,46427,17,Yard (Main)
67797,46427,17,Yard (Main)
67800,46428,17,Yard (Main)
67801,46429,17,Yard (Main)
67802,46430,17,Yard (Main)
67803,46431,17,Yard (Main)
67804,46432,17,Yard (Main)
67805,46433,17,Yard (Main)
67806,46434,17,Yard (Main)
67796,46426,17,Yard (Main)
67795,46427,17,Yard (Main)
67793,46429,17,Yard (Main)
67788,46432,17,Yard (Main)
67783,46435,17,Yard (Main)
67782,46436,17,Yard (Main)
67782,46438,17,Yard (Main)
67778,46522,17,Yard (Main)
67773,46525,17,Yard (Main)
67772,46526,17,Yard (Main)
67771,46525,17,Yard (Main)
67770,46524,17,Yard (Main)
67769,46523,17,Yard (Main)
67768,46522,17,Yard (Main)
67770,46514,17,Yard (Main)
67757,46459,17,Yard (Main)
67780,46441,17,Yard (Main)
67798,46425,17,Yard (Main)
67799,46426,17,Yard (Main)
67797,46426,17,Yard (Main)
67800,46427,17,Yard (Main)
67801,46428,17,Yard (Main)
67802,46429,17,Yard (Main)
67803,46430,17,Yard (Main)
67804,46431,17,Yard (Main)
67805,46432,17,Yard (Main)
67806,46433,17,Yard (Main)
67796,46425,17,Yard (Main)
67795,46426,17,Yard (Main)
67794,46427,17,Yard (Main)
67793,46428,17,Yard (Main)
67792,46429,17,Yard (Main)
67788,46431,17,Yard (Main)
67787,46432,17,Yard (Main)
67784,46435,17,Yard (Main)
67781,46436,17,Yard (Main)
67782,46439,17,Yard (Main)
67778,46521,17,Yard (Main)
67773,46526,17,Yard (Main)
67771,46526,17,Yard (Main)
67770,46525,17,Yard (Main)
67769,46524,17,Yard (Main)
67768,46523,17,Yard (Main)
67767,46522,17,Yard (Main)
67770,46513,17,Yard (Main)
67758,46459,17,Yard (Main)
67781,46441,17,Yard (Main)
67798,46424,17,Yard (Main)
67799,46425,17,Yard (Main)
67800,46426,17,Yard (Main)
67801,46427,17,Yard (Main)
67802,46428,17,Yard (Main)
67803,46429,17,Yard (Main)
67804,46430,17,Yard (Main)
67805,46431,17,Yard (Main)
67806,46432,17,Yard (Main)
67807,46433,17,Yard (Main)
67796,46424,17,Yard (Main)
67794,46426,17,Yard (Main)
67793,46427,17,Yard (Main)
67791,46429,17,Yard (Main)
67788,46430,17,Yard (Main)
67787,46431,17,Yard (Main)
